paciente_enumSexoBiologico,paciente_idade,vacina_descricao_dose,vacina_nome,vacina_categoria_nome,vacina_grupoAtendimento_nome,data,dose,contagem,0
F,4,1ª Dose,Vacina Covid-19 - Covishield,Faixa Etária,Pessoas de 60 a 64 anos,2021-05-10,1,1,1
F,4,2ª Dose,Covid-19-Coronavac-Sinovac/Butantan,Trabalhadores da Educação,Ensino Básico,2021-05-10,2,1,1
F,9,2ª Dose,Vacina Covid-19 - Covishield,Trabalhadores de Saúde,Outros,2021-05-10,2,1,1
F,12,1ª Dose,Vacina Covid-19 - Covishield,Faixa Etária,Pessoas de 60 a 64 anos,2021-05-10,1,1,1
F,15,1ª Dose,Vacina Covid-19 - Covishield,Comorbidades,Síndrome de Down,2021-05-10,1,1,1
F,17,1ª Dose,Vacina Covid-19 - Covishield,Trabalhadores de Saúde,Outros,2021-05-10,1,1,1
F,18,1ª Dose,Covid-19-Coronavac-Sinovac/Butantan,Trabalhadores de Saúde,Outros,2021-05-10,1,1,1
F,18,1ª Dose,Vacina Covid-19 - Covishield,Comorbidades,Diabetes Mellitus,2021-05-10,1,1,1
F,18,1ª Dose,Vacina Covid-19 - Covishield,Comorbidades,Doença Renal,2021-05-10,1,1,2
F,18,1ª Dose,Vacina Covid-19 - Covishield,Comorbidades,Doença Renal Crônica,2021-05-10,1,1,1
F,18,1ª Dose,Vacina Covid-19 - Covishield,Comorbidades,Doenças Cardiovasculares e Cerebrovasculares,2021-05-10,1,1,1
F,18,1ª Dose,Vacina Covid-19 - Covishield,Comorbidades,Hipertensão de difícil controle ou com complicações/lesão de órgão alvo,2021-05-10,1,1,1
F,18,1ª Dose,Vacina Covid-19 - Covishield,Comorbidades,Indivíduos Transplantados de Órgão Sólido,2021-05-10,1,1,10
F,18,1ª Dose,Vacina Covid-19 - Covishield,Comorbidades,Síndrome de Down,2021-05-10,1,1,40
F,18,1ª Dose,Vacina Covid-19 - Covishield,Pessoas com Deficiência,Pessoas com Deficiência Institucionalizadas,2021-05-10,1,1,8
F,18,1ª Dose,Vacina Covid-19 - Covishield,Povos e Comunidades Tradicionais,Quilombola,2021-05-10,1,1,1
F,18,1ª Dose,Vacina Covid-19 - Covishield,Trabalhadores da Educação,Ensino Básico,2021-05-10,1,1,1
F,18,1ª Dose,Vacina Covid-19 - Covishield,Trabalhadores de Saúde,Outros,2021-05-10,1,1,111
F,18,2ª Dose,Covid-19-Coronavac-Sinovac/Butantan,Trabalhadores da Educação,Ensino Básico,2021-05-10,2,1,1
F,18,2ª Dose,Covid-19-Coronavac-Sinovac/Butantan,Trabalhadores de Saúde,Outros,2021-05-10,2,1,15
F,18,2ª Dose,Vacina Covid-19 - Covishield,Trabalhadores de Saúde,Outros,2021-05-10,2,1,13
F,19,1ª Dose,Covid-19-Coronavac-Sinovac/Butantan,Comorbidades,Síndrome de Down,2021-05-10,1,1,1
F,19,1ª Dose,Covid-19-Coronavac-Sinovac/Butantan,Trabalhadores de Saúde,Outros,2021-05-10,1,1,8
F,19,1ª Dose,Vacina Covid-19 - Covishield,Comorbidades,Doença Renal,2021-05-10,1,1,7
F,19,1ª Dose,Vacina Covid-19 - Covishield,Comorbidades,Indivíduos Transplantados de Órgão Sólido,2021-05-10,1,1,5
F,19,1ª Dose,Vacina Covid-19 - Covishield,Comorbidades,Síndrome de Down,2021-05-10,1,1,42
F,19,1ª Dose,Vacina Covid-19 - Covishield,Pessoas com Deficiência,Pessoas com Deficiência Institucionalizadas,2021-05-10,1,1,16
F,19,1ª Dose,Vacina Covid-19 - Covishield,Povos e Comunidades Tradicionais,Quilombola,2021-05-10,1,1,1
